Category,Rank,Username,Topmate URL,,Category Metric,User ID,Profile Pic URL,Full Name,Short Bio
Most Testimonials,19,dr_naveen_nagarajan,https://topmate.io/dr_naveen_nagarajan,"'dr_naveen_nagarajan',",357,383635,https://topmate-staging.s3.amazonaws.com/kZSVFyopzVCERtaM4iJSSA.png,Naveen Nagarajan,"Offering evidence-based skin & hair care consultations. Get personalized advice on skin care routines, dandruff and hair loss prevention using proven scientific solutions."
Most Testimonials,20,ashok_aggarwal,https://topmate.io/ashok_aggarwal,"'ashok_aggarwal',",352,107005,https://static.topmate.io/sGL6XrQiR5xDTEPGXg6oSN.jpeg,Ashok Aggarwal,"429k+ @ Instagram | 10k @ Youtube | Prev. Founder's Office @ Unstop | Invest India (Govt of India) | Guest @ LSR, SRCC, Miranda House | Incisiv, New York (Research Intern)| Not a mentor!"
Most Testimonials,21,jhoom_baba,https://topmate.io/jhoom_baba,"'jhoom_baba',",351,845323,https://static.topmate.io/vfgEkpEzDhinak4BfVkZhB.png,Jhoom Baba,"Placed @ Deloitte (BIG 4) | Ministry of Home Affairs | 215K + Followers Instagram & Youtube | Delhi University @9 CGPA

Your soon to be FAV SENIOR !!"
Most Testimonials,22,knightofsteel,https://topmate.io/knightofsteel,"'knightofsteel',",349,70098,https://static.topmate.io/vr6httS6AoXySETTg9Df6r.jpeg,Arjun Gupta,Working on Men's Mental Health | Making Research Fun | MA Psychology
Most Testimonials,23,dibhanshu_saurav,https://topmate.io/dibhanshu_saurav,"'dibhanshu_saurav',",347,47722,https://topmate-staging.s3.amazonaws.com/mHMtPTXZZ288zfmQKZ1TXM.jpeg,Dibhanshu Saurav,"Business Analyst Mentor | Mentored 1200+ Folks I 40k+ @LinkedIn I Buidling PIBA I Helping Crack BA JobsPIBA Alumni’s @ EY, PwC, Deloitte, McKinsey, Wells Fargo, NTT Data, McKinsey, Deloitte, KPMG, UST, Unisys, Eaton, Wells Fargo"
Most Testimonials,24,ajay_kadiyala,https://topmate.io/ajay_kadiyala,"'ajay_kadiyala',",314,17047,https://static.topmate.io/95EcRJVWcN21fV2Vb22Wzf.jfif,kadiyala ajay,Hey There! This is Ajay Kadiyala. I help people to crack top Product based Companies.
Most Testimonials,25,pradeep_analyst,https://topmate.io/pradeep_analyst,"'pradeep_analyst',",284,215977,https://static.topmate.io/aFDtmCkeUs2KazBw269y4u.png,Pradeep M,"I help professionals with job search strategies, profile reviews, and optimization—while guiding them to make the right moves (and avoid the wrong ones) to land their dream role."
Average Ratings,1,nitinjadhav,https://topmate.io/nitinjadhav,"'nitinjadhav',",603,23003,https://static.topmate.io/oBuhcuDRaWb4sjefXHGaRx.png,Nitin Jadhav,"ENO, CFO @CS (UBS) | Investment Banking | HSBC | Oxford | SEBI (NISM) & NSE Certified | Google Certified Data Analytics Professional | Top 0.1% Mentor @Topmate | Featured on Times Square, NYC"
Average Ratings,2,ishaan_anand,https://topmate.io/ishaan_anand,"'ishaan_anand',",225,154871,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_8a7e7127-787d-4940-af1b-3f1e39176874.jpeg,Ishaan Anand,"Seasoned Product Leader with 10+ years of experience in launching, scaling, and managing enterprise products. As a career coach I love to mentor budding PMs and MBA aspirants."
Average Ratings,3,ambikhaa_devim,https://topmate.io/ambikhaa_devim,"'ambikhaa_devim',",176,622665,https://static.topmate.io/6CdVbgpaiXpfawDPrgYNft.jpg,Ambikhaa Devi M,Career Mentor | Tech Educator | Resumes | LinkedIn Optimization | Interview Coach | Mock Interview | Network Strategy | Helping Students & Professionals to Land Their Dream Jobs.
